acc,disprot_id,organism,group,length,protein_name,reason
Q02297-10,DP01520,Homo sapiens,Human,296,"Isoform 10 of Pro-neuregulin-1, membrane-bound isoform","alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9NS23-4,DP01533,Homo sapiens,Human,270,Isoform C of Ras association domain-containing protein 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O00429-3,DP01537,Homo sapiens,Human,710,Isoform 2 of Dynamin-1-like protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O14686,DP01676,Homo sapiens,Human,5537,Histone-lysine N-methyltransferase 2D,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O75112-6,DP01781,Homo sapiens,Human,283,Isoform 6 of LIM domain-binding protein 3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9NQC3-1,DP01855,Homo sapiens,Human,1192,Isoform A of Reticulon-4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P51587,DP01869,Homo sapiens,Human,3418,Breast cancer type 2 susceptibility protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P02686-5,DP02078,Homo sapiens,Human,171,Isoform 5 of Myelin basic protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P61328-2,DP02160,Homo sapiens,Human,181,Isoform 2 of Fibroblast growth factor 12,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q02388,DP02163,Homo sapiens,Human,2944,Collagen alpha-1(VII) chain,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q8N726-1,DP02167,Homo sapiens,Human,132,Isoform tumor suppressor ARF of Tumor suppressor ARF,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9H6Z4-3,DP02364,Homo sapiens,Human,499,Isoform 3 of Ran-binding protein 3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q96T58,DP02375,Homo sapiens,Human,3664,Msx2-interacting protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O60706-2,DP02381,Homo sapiens,Human,1549,Isoform SUR2B of ATP-binding cassette sub-family C member 9,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9P2K3-3,DP02408,Homo sapiens,Human,553,Isoform 3 of REST corepressor 3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P01266,DP02567,Homo sapiens,Human,2768,Thyroglobulin,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P20020-1,DP02604,Homo sapiens,Human,1258,Isoform D of Plasma membrane calcium-transporting ATPase 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O95071,DP02717,Homo sapiens,Human,2799,E3 ubiquitin-protein ligase UBR5,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P48740-3,DP02816,Homo sapiens,Human,380,Isoform 3 of Mannan-binding lectin serine protease 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P18206-2,DP02858,Homo sapiens,Human,1066,Isoform 1 of Vinculin,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9BZZ5-2,DP02894,Homo sapiens,Human,504,Isoform 2 of Apoptosis inhibitor 5,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O75962,DP02977,Homo sapiens,Human,3097,Triple functional domain protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P04275,DP02981,Homo sapiens,Human,2813,von Willebrand factor,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P00519-2,DP03168,Homo sapiens,Human,1149,Isoform IB of Tyrosine-protein kinase ABL1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P33316-2,DP03223,Homo sapiens,Human,164,"Isoform 2 of Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial","alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q92900-2,DP03233,Homo sapiens,Human,1118,Isoform 2 of Regulator of nonsense transcripts 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9UQ35,DP03245,Homo sapiens,Human,2752,Serine/arginine repetitive matrix protein 2,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9Y237-2,DP03386,Homo sapiens,Human,156,Isoform 2 of Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9Y237-1,DP03387,Homo sapiens,Human,131,Isoform 1 of Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P13051-1,DP03397,Homo sapiens,Human,313,Isoform 2 of Uracil-DNA glycosylase,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P60484-2,DP03399,Homo sapiens,Human,576,"Isoform alpha of Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN","alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q8WXS3-1,DP03403,Homo sapiens,Human,180,Isoform 2 of Brain and acute leukemia cytoplasmic protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P56211-2,DP03405,Homo sapiens,Human,96,Isoform ARPP-16 of cAMP-regulated phosphoprotein 19,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q96PU8-9,DP03418,Homo sapiens,Human,319,Isoform 6 of Protein quaking,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9NR48,DP03446,Homo sapiens,Human,2969,Histone-lysine N-methyltransferase ASH1L,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q04637-8,DP03499,Homo sapiens,Human,1600,Isoform 8 of Eukaryotic translation initiation factor 4 gamma 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P31431-2,DP03515,Homo sapiens,Human,153,Isoform 2 of Syndecan-4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P10636-2,DP03552,Homo sapiens,Human,352,Isoform Fetal-tau of Microtubule-associated protein tau,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q92784-2,DP03634,Homo sapiens,Human,357,Isoform 2 of Zinc finger protein DPF3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q01484,DP03650,Homo sapiens,Human,3957,Ankyrin-2,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
A0A5F9ZHA1,DP03660,Homo sapiens,Human,1849,Ankyrin-2,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P17706-2,DP03707,Homo sapiens,Human,387,Isoform 2 of Tyrosine-protein phosphatase non-receptor type 2,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q8NE35-2,DP03737,Homo sapiens,Human,684,Isoform 2 of Cytoplasmic polyadenylation element-binding protein 3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q92913-2,DP03875,Homo sapiens,Human,192,Isoform 2 of Fibroblast growth factor 13,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P29353-2,DP03938,Homo sapiens,Human,473,Isoform p52Shc of SHC-transforming protein 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O15294-3,DP03949,Homo sapiens,Human,1036,Isoform 1 of UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P35790-2,DP04078,Homo sapiens,Human,439,Isoform 2 of Choline kinase alpha,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P52306-2,DP04108,Homo sapiens,Human,558,Isoform 2 of Rap1 GTPase-GDP dissociation stimulator 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q01105-2,DP04119,Homo sapiens,Human,277,Isoform 2 of Protein SET,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P42858,DP04129,Homo sapiens,Human,3142,Huntingtin,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O43561-2,DP04137,Homo sapiens,Human,233,Isoform 2 of Linker for activation of T-cells family member 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q92784-1,DP04171,Homo sapiens,Human,378,Isoform 1 of Zinc finger protein DPF3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P49815-5,DP04279,Homo sapiens,Human,1740,Isoform 5 of Tuberin,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O95714,DP04325,Homo sapiens,Human,4834,E3 ubiquitin-protein ligase HERC2,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q8TD57,DP04442,Homo sapiens,Human,4116,Dynein axonemal heavy chain 3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P11142,DP04445,Homo sapiens,Human,646,Heat shock cognate 71 kDa protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P25685,DP04447,Homo sapiens,Human,340,DnaJ homolog subfamily B member 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q13217,DP04449,Homo sapiens,Human,504,DnaJ homolog subfamily C member 3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O75165,DP04450,Homo sapiens,Human,2243,DnaJ homolog subfamily C member 13,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q15759,DP04451,Homo sapiens,Human,364,Mitogen-activated protein kinase 11,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q16539,DP04452,Homo sapiens,Human,360,Mitogen-activated protein kinase 14,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O15264,DP04457,Homo sapiens,Human,365,Mitogen-activated protein kinase 13,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q5XUX0,DP04458,Homo sapiens,Human,539,F-box only protein 31,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q49AH0,DP04459,Homo sapiens,Human,187,Cerebral dopamine neurotrophic factor,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P00748,DP04461,Homo sapiens,Human,615,Coagulation factor XII,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O60870,DP04491,Homo sapiens,Human,393,DNA/RNA-binding protein KIN17,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O00170,DP04492,Homo sapiens,Human,330,AH receptor-interacting protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P11229,DP04508,Homo sapiens,Human,460,Muscarinic acetylcholine receptor M1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q99683,DP04510,Homo sapiens,Human,1374,Mitogen-activated protein kinase kinase kinase 5,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P54198,DP04518,Homo sapiens,Human,1017,Protein HIRA,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q16643,DP04521,Homo sapiens,Human,649,Drebrin,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O75381,DP04522,Homo sapiens,Human,377,Peroxisomal membrane protein PEX14,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q96B01,DP04523,Homo sapiens,Human,352,RAD51-associated protein 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9C0K0,DP04525,Homo sapiens,Human,894,B-cell lymphoma/leukemia 11B,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q14865,DP04533,Homo sapiens,Human,1188,AT-rich interactive domain-containing protein 5B,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q92959,DP04542,Homo sapiens,Human,643,Solute carrier organic anion transporter family member 2A1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O60664,DP04560,Homo sapiens,Human,434,Perilipin-3,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O60240,DP04561,Homo sapiens,Human,522,Perilipin-1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P23246,DP04574,Homo sapiens,Human,707,"Splicing factor, proline- and glutamine-rich","alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q6VY07,DP04587,Homo sapiens,Human,963,Phosphofurin acidic cluster sorting protein 1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P38829,DP04430,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungal,231,MIP18 family protein YHR122W,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P02829,DP04448,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungal,709,ATP-dependent molecular chaperone HSP82,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P25294,DP04455,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungal,352,Protein SIS1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P07270,DP04535,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungal,312,Phosphate system positive regulatory protein PHO4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P77488,DP04462,Escherichia coli (strain K12),Bacterial,620,1-deoxy-D-xylulose-5-phosphate synthase,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P0A9P6,DP04493,Escherichia coli (strain K12),Bacterial,629,ATP-dependent RNA helicase DeaD,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P0A8P3,DP04494,Escherichia coli (strain K12),Bacterial,91,Probable Fe(2+)-trafficking protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P30429-2,DP03045,Caenorhabditis elegans,Nematode,549,Isoform a of Cell death protein 4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q967F4,DP03105,Caenorhabditis elegans,Nematode,2920,Cadherin-related hmr-1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q94218-2,DP03322,Caenorhabditis elegans,Nematode,575,Isoform b of Ufm1-specific protease,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P34707,DP04531,Caenorhabditis elegans,Nematode,623,Protein skinhead-1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
