acc,disprot_id,region_id,organism,ncbi_taxon_id,group,protein_length,start,end,region_len,term_namespace,term_id,term_ontology,ec_id,ec_name,ec_ontology,reference_id,curator_name,released,version
P13569,DP00012,DP00012r005,Homo sapiens,9606,Human,1480,708,831,124,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,10792060,Federica Quaglia,2022_12,3
P13569,DP00012,DP00012r006,Homo sapiens,9606,Human,1480,708,831,124,Disorder function,IDPO:0000045,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,10792060,Federica Quaglia,2022_03,2
P13569,DP00012,DP00012r007,Homo sapiens,9606,Human,1480,654,838,185,Structural state,IDPO:0000002,IDPO,ECO:0006198,proton-based nuclear magnetic resonance evidence used in manual assertion,ECO,17660831,Federica Quaglia,2022_12,3
P13569,DP00012,DP00012r008,Homo sapiens,9606,Human,1480,654,838,185,Disorder function,IDPO:0000045,IDPO,ECO:0006198,proton-based nuclear magnetic resonance evidence used in manual assertion,ECO,17660831,Federica Quaglia,2022_03,2
P13569,DP00012,DP00012r010,Homo sapiens,9606,Human,1480,708,831,124,Structural state,IDPO:0000002,IDPO,ECO:0007691,cleavage assay evidence used in manual assertion,ECO,10792060,Federica Quaglia,2022_12,0
P13569,DP00012,DP00012r012,Homo sapiens,9606,Human,1480,789,819,31,Molecular function,GO:0071889,GO,ECO:0006277,fluorescence polarization evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r013,Homo sapiens,9606,Human,1480,762,801,40,Molecular function,GO:0071889,GO,ECO:0006277,fluorescence polarization evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r014,Homo sapiens,9606,Human,1480,747,774,28,Molecular function,GO:0071889,GO,ECO:0006277,fluorescence polarization evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r015,Homo sapiens,9606,Human,1480,747,774,28,Molecular function,GO:0071889,GO,ECO:0005647,isothermal titration calorimetry evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r016,Homo sapiens,9606,Human,1480,762,801,40,Molecular function,GO:0071889,GO,ECO:0005647,isothermal titration calorimetry evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r017,Homo sapiens,9606,Human,1480,789,819,31,Molecular function,GO:0071889,GO,ECO:0005647,isothermal titration calorimetry evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r018,Homo sapiens,9606,Human,1480,766,770,5,Molecular function,GO:0071889,GO,ECO:0007089,loss-of-function mutant phenotype evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r019,Homo sapiens,9606,Human,1480,766,770,5,Molecular function,GO:0071889,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r020,Homo sapiens,9606,Human,1480,751,758,8,Molecular function,GO:0071889,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,26888287,Evelyn Wagner,2024_06,0
P13569,DP00012,DP00012r027,Homo sapiens,9606,Human,1480,698,702,5,Molecular function,GO:0071889,GO,ECO:0007089,loss-of-function mutant phenotype evidence used in manual assertion,ECO,26888287,Victoria Nugnes,2024_06,0
P13569,DP00012,DP00012r028,Homo sapiens,9606,Human,1480,751,755,5,Molecular function,GO:0071889,GO,ECO:0007089,loss-of-function mutant phenotype evidence used in manual assertion,ECO,26888287,Victoria Nugnes,2024_06,0
P13569,DP00012,DP00012r029,Homo sapiens,9606,Human,1480,764,774,11,Molecular function,GO:0071889,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,26888287,Victoria Nugnes,2024_06,0
P13569,DP00012,DP00012r030,Homo sapiens,9606,Human,1480,793,798,6,Molecular function,GO:0071889,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,26888287,Victoria Nugnes,2024_06,0
P0DN86,DP00013,DP00013r001,Homo sapiens,9606,Human,165,132,165,34,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,8202136,Federica Quaglia,2022_03,3
P0DN86,DP00013,DP00013r002,Homo sapiens,9606,Human,165,132,165,34,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,7922031,Federica Quaglia,2022_03,3
P0DN86,DP00013,DP00013r004,Homo sapiens,9606,Human,165,133,165,33,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,10373373,Federica Quaglia,2022_03,3
P0DN86,DP00013,DP00013r006,Homo sapiens,9606,Human,165,143,165,23,Disorder function,IDPO:0000041,IDPO,ECO:0001230,mass spectrometry evidence used in manual assertion,ECO,25636227,Federica Quaglia,2022_03,2
P38936,DP00016,DP00016r001,Homo sapiens,9606,Human,164,1,164,164,Structural state,IDPO:0000002,IDPO,ECO:0007689,sodium dodecyl sulfate polyacrylamide gel electrophoresis evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r002,Homo sapiens,9606,Human,164,1,164,164,Structural state,IDPO:0000002,IDPO,ECO:0007691,cleavage assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r005,Homo sapiens,9606,Human,164,1,164,164,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r006,Homo sapiens,9606,Human,164,1,94,94,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r008,Homo sapiens,9606,Human,164,9,84,76,Structural transition,IDPO:0000011,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r009,Homo sapiens,9606,Human,164,9,84,76,Molecular function,GO:0005515,GO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,4
P38936,DP00016,DP00016r012,Homo sapiens,9606,Human,164,9,84,76,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,2
P38936,DP00016,DP00016r013,Homo sapiens,9606,Human,164,1,94,94,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,2
P38936,DP00016,DP00016r014,Homo sapiens,9606,Human,164,1,94,94,Molecular function,GO:0140678,GO,ECO:0005801,enzymatic activity assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r015,Homo sapiens,9606,Human,164,1,94,94,Molecular function,GO:0005515,GO,ECO:0005801,enzymatic activity assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r016,Homo sapiens,9606,Human,164,9,84,76,Molecular function,GO:0005515,GO,ECO:0005801,enzymatic activity assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r017,Homo sapiens,9606,Human,164,9,84,76,Molecular function,GO:0140678,GO,ECO:0005801,enzymatic activity assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r018,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0140678,GO,ECO:0005801,enzymatic activity assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r019,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0005515,GO,ECO:0005801,enzymatic activity assay evidence used in manual assertion,ECO,8876165,Federica Quaglia,2022_03,3
P38936,DP00016,DP00016r020,Homo sapiens,9606,Human,164,1,164,164,Biological process,GO:0001934,GO,ECO:0005648,luciferase reporter gene assay evidence used in manual assertion,ECO,22869755,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r021,Homo sapiens,9606,Human,164,1,164,164,Biological process,GO:0001933,GO,ECO:0000279,qualitative western immunoblotting evidence used in manual assertion,ECO,7958916,Edoardo Salladini,2022_03,2
P38936,DP00016,DP00016r022,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,23026136,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r023,Homo sapiens,9606,Human,164,1,164,164,Disorder function,IDPO:0000046,IDPO,ECO:0005644,immunoprecipitation evidence used in manual assertion,ECO,23026136,Edoardo Salladini,2022_03,1
P38936,DP00016,DP00016r024,Homo sapiens,9606,Human,164,139,160,22,Molecular function,GO:0005515,GO,ECO:0005581,enzyme-linked immunoabsorbent assay evidence used in manual assertion,ECO,11595739,Edoardo Salladini,2022_03,2
P38936,DP00016,DP00016r025,Homo sapiens,9606,Human,164,139,160,22,Molecular function,GO:0140311,GO,ECO:0007738,protein detection assay evidence used in manual assertion,ECO,11595739,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r026,Homo sapiens,9606,Human,164,1,164,164,Biological process,GO:0008285,GO,ECO:0005638,cell growth regulation assay evidence used in manual assertion,ECO,10208428,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r027,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0140677,GO,ECO:0001585,small interfering RNA knockdown evidence used in manual assertion,ECO,17553787,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r028,Homo sapiens,9606,Human,164,152,158,7,Molecular function,GO:0005515,GO,ECO:0005640,glutathione S-transferase pull-down assay evidence used in manual assertion,ECO,23213251,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r029,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,17420273,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r030,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,23213251,Galo Balatti,2022_03,1
P38936,DP00016,DP00016r031,Homo sapiens,9606,Human,164,143,147,5,Disorder function,IDPO:0000045,IDPO,ECO:0007089,loss-of-function mutant phenotype evidence used in manual assertion,ECO,11463845,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r032,Homo sapiens,9606,Human,164,143,147,5,Disorder function,IDPO:0000045,IDPO,ECO:0001202,in vitro protein kinase assay evidence used in manual assertion,ECO,11463845,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r033,Homo sapiens,9606,Human,164,139,160,22,Molecular function,GO:0005515,GO,ECO:0006222,X-ray crystallography-based structural model with high relative B-factor values used in manual assertion,ECO,8861913,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r034,Homo sapiens,9606,Human,164,139,143,5,Biological process,GO:0051170,GO,ECO:0007089,loss-of-function mutant phenotype evidence used in manual assertion,ECO,12417334,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r035,Homo sapiens,9606,Human,164,143,147,5,Biological process,GO:0032091,GO,ECO:0007089,loss-of-function mutant phenotype evidence used in manual assertion,ECO,11463845,Victoria Nugnes,2024_06,0
P38936,DP00016,DP00016r036,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0004861,GO,ECO:0001218,in vivo protein kinase assay evidence used in manual assertion,ECO,11463845,Victoria Nugnes,2024_06,0
P38936,DP00016,DP00016r037,Homo sapiens,9606,Human,164,143,147,5,Disorder function,IDPO:0000045,IDPO,ECO:0001218,in vivo protein kinase assay evidence used in manual assertion,ECO,11463845,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r038,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,11463845,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r039,Homo sapiens,9606,Human,164,1,164,164,Cellular component,GO:0070557,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,11463845,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r040,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0120283,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,11463845,Beltina Leon,2024_06,0
P38936,DP00016,DP00016r041,Homo sapiens,9606,Human,164,1,49,49,Molecular function,GO:0005515,GO,ECO:0005805,yeast 2-hybrid evidence used in manual assertion,ECO,28425505,Maria Cristina Aspromonte,2024_12,0
P38936,DP00016,DP00016r042,Homo sapiens,9606,Human,164,1,164,164,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,28425505,Victoria Nugnes,2024_12,0
P49918,DP00017,DP00017r001,Homo sapiens,9606,Human,316,1,316,316,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,3
P49918,DP00017,DP00017r004,Homo sapiens,9606,Human,316,1,316,316,Structural state,IDPO:0000002,IDPO,ECO:0001249,fluorescence evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,3
P49918,DP00017,DP00017r007,Homo sapiens,9606,Human,316,1,316,316,Structural state,IDPO:0000002,IDPO,ECO:0007680,chromatography evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,3
P49918,DP00017,DP00017r010,Homo sapiens,9606,Human,316,27,97,71,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,3
P49918,DP00017,DP00017r013,Homo sapiens,9606,Human,316,27,97,71,Structural state,IDPO:0000002,IDPO,ECO:0001249,fluorescence evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,3
P49918,DP00017,DP00017r016,Homo sapiens,9606,Human,316,27,97,71,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,2
P49918,DP00017,DP00017r017,Homo sapiens,9606,Human,316,27,97,71,Molecular function,GO:0140678,GO,ECO:0001175,deletion mutation phenotypic evidence used in manual assertion,ECO,11746698,Federica Quaglia,2022_03,3
P49918,DP00017,DP00017r018,Homo sapiens,9606,Human,316,1,61,61,Molecular function,GO:0005515,GO,ECO:0005805,yeast 2-hybrid evidence used in manual assertion,ECO,28425505,Maria Cristina Aspromonte,2024_12,0
P49918,DP00017,DP00017r019,Homo sapiens,9606,Human,316,1,316,316,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,28425505,Victoria Nugnes,2024_12,0
P46527,DP00018,DP00018r002,Homo sapiens,9606,Human,198,38,59,22,Disorder function,IDPO:0000033,IDPO,ECO:0006198,proton-based nuclear magnetic resonance evidence used in manual assertion,ECO,15024385,Federica Quaglia,2022_03,4
P46527,DP00018,DP00018r003,Homo sapiens,9606,Human,198,38,59,22,Structural transition,IDPO:0000011,IDPO,ECO:0006198,proton-based nuclear magnetic resonance evidence used in manual assertion,ECO,15024385,Federica Quaglia,2022_03,3
P46527,DP00018,DP00018r008,Homo sapiens,9606,Human,198,105,198,94,Structural state,IDPO:0000002,IDPO,ECO:0006198,proton-based nuclear magnetic resonance evidence used in manual assertion,ECO,18177895,Federica Quaglia,2022_03,5
P46527,DP00018,DP00018r011,Homo sapiens,9606,Human,198,1,198,198,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,11790096,Federica Quaglia,2022_03,4
P46527,DP00018,DP00018r019,Homo sapiens,9606,Human,198,55,95,41,Molecular function,GO:0005515,GO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,29410088,Federica Quaglia,2022_03,4
P46527,DP00018,DP00018r020,Homo sapiens,9606,Human,198,1,50,50,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,28666995,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r021,Homo sapiens,9606,Human,198,97,197,101,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,28666995,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r022,Homo sapiens,9606,Human,198,22,97,76,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,11790096,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r023,Homo sapiens,9606,Human,198,22,97,76,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,11790096,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r024,Homo sapiens,9606,Human,198,22,97,76,Structural transition,IDPO:0000019,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,11790096,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r025,Homo sapiens,9606,Human,198,22,97,76,Molecular function,GO:0140678,GO,ECO:0000315,mutant phenotype evidence used in manual assertion,ECO,11790096,Victoria Nugnes,2022_06,4
P46527,DP00018,DP00018r026,Homo sapiens,9606,Human,198,25,93,69,Structural transition,IDPO:0000011,IDPO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,8684460,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r027,Homo sapiens,9606,Human,198,25,93,69,Molecular function,GO:0005515,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,8684460,Federica Quaglia,2022_03,3
P46527,DP00018,DP00018r028,Homo sapiens,9606,Human,198,25,93,69,Molecular function,GO:0060090,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,8684460,Federica Quaglia,2022_03,3
P46527,DP00018,DP00018r029,Homo sapiens,9606,Human,198,25,93,69,Molecular function,GO:0019914,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,8684460,Federica Quaglia,2023_06,6
P46527,DP00018,DP00018r030,Homo sapiens,9606,Human,198,181,185,5,Molecular function,GO:0005515,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,16209941,Victoria Nugnes,2022_12,5
P46527,DP00018,DP00018r031,Homo sapiens,9606,Human,198,181,190,10,Structural transition,IDPO:0000011,IDPO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,16209941,Victoria Nugnes,2022_06,3
P46527,DP00018,DP00018r032,Homo sapiens,9606,Human,198,181,190,10,Molecular function,GO:1990757,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,16209941,Victoria Nugnes,2022_12,5
P46527,DP00018,DP00018r033,Homo sapiens,9606,Human,198,185,189,5,Disorder function,IDPO:0000045,IDPO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,16209941,Victoria Nugnes,2022_12,4
P46527,DP00018,DP00018r034,Homo sapiens,9606,Human,198,185,190,6,Molecular function,GO:0031625,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,16209941,Victoria Nugnes,2022_12,5
P46527,DP00018,DP00018r035,Homo sapiens,9606,Human,198,1,198,198,Biological process,GO:0051179,GO,ECO:0001175,deletion mutation phenotypic evidence used in manual assertion,ECO,29410088,Federica Quaglia,2022_03,3
P46527,DP00018,DP00018r036,Homo sapiens,9606,Human,198,22,105,84,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,15024385,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r037,Homo sapiens,9606,Human,198,1,198,198,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,15024385,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r038,Homo sapiens,9606,Human,198,28,37,10,Molecular function,GO:0005515,GO,ECO:0005647,isothermal titration calorimetry evidence used in manual assertion,ECO,15024385,Edoardo Salladini,2022_03,4
P46527,DP00018,DP00018r039,Homo sapiens,9606,Human,198,66,88,23,Molecular function,GO:0005515,GO,ECO:0005647,isothermal titration calorimetry evidence used in manual assertion,ECO,15024385,Edoardo Salladini,2022_03,4
P46527,DP00018,DP00018r042,Homo sapiens,9606,Human,198,32,45,14,Biological process,GO:0051179,GO,ECO:0006323,fluorescence microscopy evidence used in manual assertion,ECO,12529437,Federica Quaglia,2022_03,3
P46527,DP00018,DP00018r043,Homo sapiens,9606,Human,198,8,12,5,Biological process,GO:0051168,GO,ECO:0000315,mutant phenotype evidence used in manual assertion,ECO,12529437,Victoria Nugnes,2022_06,4
P46527,DP00018,DP00018r044,Homo sapiens,9606,Human,198,8,12,5,Disorder function,IDPO:0000045,IDPO,ECO:0000315,mutant phenotype evidence used in manual assertion,ECO,10831586,Victoria Nugnes,2022_06,3
P46527,DP00018,DP00018r045,Homo sapiens,9606,Human,198,32,45,14,Disorder function,IDPO:0000045,IDPO,ECO:0000279,qualitative western immunoblotting evidence used in manual assertion,ECO,12529437,Federica Quaglia,2022_03,2
P46527,DP00018,DP00018r046,Homo sapiens,9606,Human,198,22,105,84,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,16214166,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r047,Homo sapiens,9606,Human,198,38,90,53,Structural transition,IDPO:0000011,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,16214166,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r048,Homo sapiens,9606,Human,198,22,97,76,Structural state,IDPO:0000002,IDPO,ECO:0006204,far-UV circular dichroism evidence used in manual assertion,ECO,11749217,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r049,Homo sapiens,9606,Human,198,22,97,76,Structural state,IDPO:0000002,IDPO,ECO:0006336,intrinsic fluorescence-based protein conformation evidence,ECO,11749217,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r050,Homo sapiens,9606,Human,198,22,97,76,Molecular function,GO:0005515,GO,ECO:0006336,intrinsic fluorescence-based protein conformation evidence,ECO,16214166,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r051,Homo sapiens,9606,Human,198,86,90,5,Disorder function,IDPO:0000045,IDPO,ECO:0000279,qualitative western immunoblotting evidence used in manual assertion,ECO,17254966,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r052,Homo sapiens,9606,Human,198,86,90,5,Disorder function,IDPO:0000045,IDPO,ECO:0001254,radioisotope assay evidence used in manual assertion,ECO,17254966,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r053,Homo sapiens,9606,Human,198,91,96,6,Molecular function,GO:0005515,GO,ECO:0000279,qualitative western immunoblotting evidence used in manual assertion,ECO,17254966,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r054,Homo sapiens,9606,Human,198,58,105,48,Structural state,IDPO:0000002,IDPO,ECO:0006165,nuclear magnetic resonance spectroscopy evidence used in manual assertion,ECO,28885015,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r055,Homo sapiens,9606,Human,198,58,105,48,Structural state,IDPO:0000002,IDPO,ECO:0006210,small-angle X-ray scattering evidence used in manual assertion,ECO,28885015,Tamas Lazar,2023_12,0
P46527,DP00018,DP00018r056,Homo sapiens,9606,Human,198,1,60,60,Molecular function,GO:0005515,GO,ECO:0005805,yeast 2-hybrid evidence used in manual assertion,ECO,28425505,Maria Cristina Aspromonte,2024_12,0
P46527,DP00018,DP00018r057,Homo sapiens,9606,Human,198,1,198,198,Molecular function,GO:0005515,GO,ECO:0006030,co-immunoprecipitation evidence used in manual assertion,ECO,28425505,Victoria Nugnes,2024_12,0
P14061,DP00023,DP00023r005,Homo sapiens,9606,Human,328,286,328,43,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,7663947,Edoardo Salladini,2022_03,2
P14061,DP00023,DP00023r006,Homo sapiens,9606,Human,328,191,199,9,Disorder function,IDPO:0000033,IDPO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,9525918,Edoardo Salladini,2022_06,4
P14061,DP00023,DP00023r007,Homo sapiens,9606,Human,328,191,199,9,Molecular function,GO:0036094,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,9525918,Edoardo Salladini,2022_03,3
